2025-07-31 11:30:06.114 [Info] [SpeedTUI][Startup] SpeedTUI 1.0.0 starting up
2025-07-31 11:30:06.898 [Debug] [DashboardScreen][Constructor] Enhanced component created | Type=DashboardScreen Id=366f3fa3-f9da-43ab-97b0-96a24adc5a49
2025-07-31 11:30:21.171 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=TimeTrackingScreen
2025-07-31 11:30:21.212 [Trace] [SpeedTUI][TimeTrackingScreen] Render start | TimeEntriesCount=6 AddFormExists=True ViewMode=List EditFormExists=True
2025-07-31 11:30:21.229 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=21
2025-07-31 11:30:21.548 [Trace] [SpeedTUI][MainLoop] Key pressed | KeyChar=0 CurrentScreen=TimeTrackingScreen Key=DownArrow
2025-07-31 11:30:21.555 [Debug] [SpeedTUI][MainLoop] TimeTrackingScreen input | HasHandleKey=True ViewMode=List KeyString=DownArrow
2025-07-31 11:30:21.622 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=TimeTrackingScreen
2025-07-31 11:30:21.665 [Trace] [SpeedTUI][TimeTrackingScreen] Render start | TimeEntriesCount=6 AddFormExists=True ViewMode=List EditFormExists=True
2025-07-31 11:30:21.686 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=21
2025-07-31 11:30:21.752 [Trace] [SpeedTUI][MainLoop] Key pressed | KeyChar=0 CurrentScreen=TimeTrackingScreen Key=DownArrow
2025-07-31 11:30:21.756 [Debug] [SpeedTUI][MainLoop] TimeTrackingScreen input | HasHandleKey=True ViewMode=List KeyString=DownArrow
2025-07-31 11:30:21.816 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=TimeTrackingScreen
2025-07-31 11:30:21.855 [Trace] [SpeedTUI][TimeTrackingScreen] Render start | TimeEntriesCount=6 AddFormExists=True ViewMode=List EditFormExists=True
2025-07-31 11:30:21.872 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=21
2025-07-31 11:30:21.905 [Trace] [SpeedTUI][MainLoop] Key pressed | KeyChar=0 CurrentScreen=TimeTrackingScreen Key=DownArrow
2025-07-31 11:30:21.909 [Debug] [SpeedTUI][MainLoop] TimeTrackingScreen input | HasHandleKey=True ViewMode=List KeyString=DownArrow
2025-07-31 11:30:21.972 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=TimeTrackingScreen
2025-07-31 11:30:22.014 [Trace] [SpeedTUI][TimeTrackingScreen] Render start | TimeEntriesCount=6 AddFormExists=True ViewMode=List EditFormExists=True
2025-07-31 11:30:22.028 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=21
2025-07-31 11:30:22.042 [Trace] [SpeedTUI][MainLoop] Key pressed | KeyChar=0 CurrentScreen=TimeTrackingScreen Key=DownArrow
2025-07-31 11:30:22.048 [Debug] [SpeedTUI][MainLoop] TimeTrackingScreen input | HasHandleKey=True ViewMode=List KeyString=DownArrow
2025-07-31 11:30:22.109 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=TimeTrackingScreen
2025-07-31 11:30:22.160 [Trace] [SpeedTUI][TimeTrackingScreen] Render start | TimeEntriesCount=6 AddFormExists=True ViewMode=List EditFormExists=True
2025-07-31 11:30:22.176 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=21
2025-07-31 11:30:22.904 [Trace] [SpeedTUI][MainLoop] Key pressed | KeyChar=0 CurrentScreen=TimeTrackingScreen Key=UpArrow
2025-07-31 11:30:22.917 [Debug] [SpeedTUI][MainLoop] TimeTrackingScreen input | HasHandleKey=True ViewMode=List KeyString=UpArrow
2025-07-31 11:30:22.995 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=TimeTrackingScreen
2025-07-31 11:30:23.034 [Trace] [SpeedTUI][TimeTrackingScreen] Render start | TimeEntriesCount=6 AddFormExists=True ViewMode=List EditFormExists=True
2025-07-31 11:30:23.052 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=21
2025-07-31 11:30:23.120 [Trace] [SpeedTUI][MainLoop] Key pressed | KeyChar=0 CurrentScreen=TimeTrackingScreen Key=UpArrow
2025-07-31 11:30:23.123 [Debug] [SpeedTUI][MainLoop] TimeTrackingScreen input | HasHandleKey=True ViewMode=List KeyString=UpArrow
2025-07-31 11:30:23.184 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=TimeTrackingScreen
2025-07-31 11:30:23.235 [Trace] [SpeedTUI][TimeTrackingScreen] Render start | TimeEntriesCount=6 AddFormExists=True ViewMode=List EditFormExists=True
2025-07-31 11:30:23.250 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=21
2025-07-31 11:30:23.263 [Trace] [SpeedTUI][MainLoop] Key pressed | KeyChar=0 CurrentScreen=TimeTrackingScreen Key=UpArrow
2025-07-31 11:30:23.267 [Debug] [SpeedTUI][MainLoop] TimeTrackingScreen input | HasHandleKey=True ViewMode=List KeyString=UpArrow
2025-07-31 11:30:23.330 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=TimeTrackingScreen
2025-07-31 11:30:23.375 [Trace] [SpeedTUI][TimeTrackingScreen] Render start | TimeEntriesCount=6 AddFormExists=True ViewMode=List EditFormExists=True
2025-07-31 11:30:23.398 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=21
2025-07-31 11:30:23.427 [Trace] [SpeedTUI][MainLoop] Key pressed | KeyChar=0 CurrentScreen=TimeTrackingScreen Key=UpArrow
2025-07-31 11:30:23.436 [Debug] [SpeedTUI][MainLoop] TimeTrackingScreen input | HasHandleKey=True ViewMode=List KeyString=UpArrow
2025-07-31 11:30:23.501 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=TimeTrackingScreen
2025-07-31 11:30:23.543 [Trace] [SpeedTUI][TimeTrackingScreen] Render start | TimeEntriesCount=6 AddFormExists=True ViewMode=List EditFormExists=True
2025-07-31 11:30:23.567 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=21
2025-07-31 11:30:23.592 [Trace] [SpeedTUI][MainLoop] Key pressed | KeyChar=0 CurrentScreen=TimeTrackingScreen Key=UpArrow
2025-07-31 11:30:23.597 [Debug] [SpeedTUI][MainLoop] TimeTrackingScreen input | HasHandleKey=True ViewMode=List KeyString=UpArrow
2025-07-31 11:30:23.661 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=TimeTrackingScreen
2025-07-31 11:30:23.702 [Trace] [SpeedTUI][TimeTrackingScreen] Render start | TimeEntriesCount=6 AddFormExists=True ViewMode=List EditFormExists=True
2025-07-31 11:30:23.717 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=21
2025-07-31 11:30:23.781 [Trace] [SpeedTUI][MainLoop] Key pressed | KeyChar=0 CurrentScreen=TimeTrackingScreen Key=UpArrow
2025-07-31 11:30:23.786 [Debug] [SpeedTUI][MainLoop] TimeTrackingScreen input | HasHandleKey=True ViewMode=List KeyString=UpArrow
2025-07-31 11:30:24.364 [Trace] [SpeedTUI][MainLoop] Key pressed | KeyChar=0 CurrentScreen=TimeTrackingScreen Key=DownArrow
2025-07-31 11:30:24.376 [Debug] [SpeedTUI][MainLoop] TimeTrackingScreen input | HasHandleKey=True ViewMode=List KeyString=DownArrow
2025-07-31 11:30:24.439 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=TimeTrackingScreen
2025-07-31 11:30:24.487 [Trace] [SpeedTUI][TimeTrackingScreen] Render start | TimeEntriesCount=6 AddFormExists=True ViewMode=List EditFormExists=True
2025-07-31 11:30:24.502 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=21
2025-07-31 11:30:24.618 [Trace] [SpeedTUI][MainLoop] Key pressed | KeyChar=0 CurrentScreen=TimeTrackingScreen Key=DownArrow
2025-07-31 11:30:24.622 [Debug] [SpeedTUI][MainLoop] TimeTrackingScreen input | HasHandleKey=True ViewMode=List KeyString=DownArrow
2025-07-31 11:30:24.687 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=TimeTrackingScreen
2025-07-31 11:30:24.734 [Trace] [SpeedTUI][TimeTrackingScreen] Render start | TimeEntriesCount=6 AddFormExists=True ViewMode=List EditFormExists=True
2025-07-31 11:30:24.749 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=21
2025-07-31 11:30:24.812 [Trace] [SpeedTUI][MainLoop] Key pressed | KeyChar=0 CurrentScreen=TimeTrackingScreen Key=DownArrow
2025-07-31 11:30:24.816 [Debug] [SpeedTUI][MainLoop] TimeTrackingScreen input | HasHandleKey=True ViewMode=List KeyString=DownArrow
2025-07-31 11:30:24.880 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=TimeTrackingScreen
2025-07-31 11:30:24.924 [Trace] [SpeedTUI][TimeTrackingScreen] Render start | TimeEntriesCount=6 AddFormExists=True ViewMode=List EditFormExists=True
2025-07-31 11:30:24.941 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=21
2025-07-31 11:30:24.969 [Trace] [SpeedTUI][MainLoop] Key pressed | KeyChar=0 CurrentScreen=TimeTrackingScreen Key=DownArrow
2025-07-31 11:30:24.974 [Debug] [SpeedTUI][MainLoop] TimeTrackingScreen input | HasHandleKey=True ViewMode=List KeyString=DownArrow
2025-07-31 11:30:25.040 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=TimeTrackingScreen
2025-07-31 11:30:25.078 [Trace] [SpeedTUI][TimeTrackingScreen] Render start | TimeEntriesCount=6 AddFormExists=True ViewMode=List EditFormExists=True
2025-07-31 11:30:25.097 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=21
2025-07-31 11:30:25.166 [Trace] [SpeedTUI][MainLoop] Key pressed | KeyChar=0 CurrentScreen=TimeTrackingScreen Key=DownArrow
2025-07-31 11:30:25.169 [Debug] [SpeedTUI][MainLoop] TimeTrackingScreen input | HasHandleKey=True ViewMode=List KeyString=DownArrow
2025-07-31 11:30:25.234 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=TimeTrackingScreen
2025-07-31 11:30:25.284 [Trace] [SpeedTUI][TimeTrackingScreen] Render start | TimeEntriesCount=6 AddFormExists=True ViewMode=List EditFormExists=True
2025-07-31 11:30:25.301 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=21
2025-07-31 11:30:27.087 [Trace] [SpeedTUI][MainLoop] Key pressed | KeyChar=0 CurrentScreen=TimeTrackingScreen Key=UpArrow
2025-07-31 11:30:27.098 [Debug] [SpeedTUI][MainLoop] TimeTrackingScreen input | HasHandleKey=True ViewMode=List KeyString=UpArrow
2025-07-31 11:30:27.189 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=TimeTrackingScreen
2025-07-31 11:30:27.224 [Trace] [SpeedTUI][TimeTrackingScreen] Render start | TimeEntriesCount=6 AddFormExists=True ViewMode=List EditFormExists=True
2025-07-31 11:30:27.235 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=21
2025-07-31 11:30:27.657 [Trace] [SpeedTUI][MainLoop] Key pressed | KeyChar=0 CurrentScreen=TimeTrackingScreen Key=UpArrow
2025-07-31 11:30:27.661 [Debug] [SpeedTUI][MainLoop] TimeTrackingScreen input | HasHandleKey=True ViewMode=List KeyString=UpArrow
2025-07-31 11:30:27.720 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=TimeTrackingScreen
2025-07-31 11:30:27.791 [Trace] [SpeedTUI][TimeTrackingScreen] Render start | TimeEntriesCount=6 AddFormExists=True ViewMode=List EditFormExists=True
2025-07-31 11:30:27.801 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=21
2025-07-31 11:30:27.914 [Trace] [SpeedTUI][MainLoop] Key pressed | KeyChar=0 CurrentScreen=TimeTrackingScreen Key=UpArrow
2025-07-31 11:30:27.919 [Debug] [SpeedTUI][MainLoop] TimeTrackingScreen input | HasHandleKey=True ViewMode=List KeyString=UpArrow
2025-07-31 11:30:27.983 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=TimeTrackingScreen
2025-07-31 11:30:28.038 [Trace] [SpeedTUI][TimeTrackingScreen] Render start | TimeEntriesCount=6 AddFormExists=True ViewMode=List EditFormExists=True
2025-07-31 11:30:28.055 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=21
2025-07-31 11:30:28.532 [Trace] [SpeedTUI][MainLoop] Key pressed | KeyChar=97 CurrentScreen=TimeTrackingScreen Key=A
2025-07-31 11:30:28.538 [Debug] [SpeedTUI][MainLoop] TimeTrackingScreen input | HasHandleKey=True ViewMode=List KeyString=A
2025-07-31 11:30:28.625 [Debug] [SpeedTUI][FormManager] Form activated | FirstFieldLabel=Project ID1 TotalFields=9
2025-07-31 11:30:28.716 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=TimeTrackingScreen
2025-07-31 11:30:28.747 [Trace] [SpeedTUI][TimeTrackingScreen] Render start | TimeEntriesCount=6 AddFormExists=True ViewMode=Add EditFormExists=True
2025-07-31 11:30:28.888 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=24
2025-07-31 11:30:29.876 [Trace] [SpeedTUI][MainLoop] Key pressed | KeyChar=0 CurrentScreen=TimeTrackingScreen Key=DownArrow
2025-07-31 11:30:29.910 [Debug] [SpeedTUI][MainLoop] TimeTrackingScreen input | HasHandleKey=True ViewMode=Add KeyString=DownArrow
2025-07-31 11:30:29.971 [Trace] [SpeedTUI][FormManager] HandleInput | CurrentFieldLabel=Project ID1 CurrentFieldIndex=0 Key=DownArrow
2025-07-31 11:30:29.992 [Debug] [SpeedTUI][FormManager] Moved to next field via DownArrow | NewFieldIndex=1 NewFieldLabel=Project ID2
2025-07-31 11:30:30.047 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=TimeTrackingScreen
2025-07-31 11:30:30.085 [Trace] [SpeedTUI][TimeTrackingScreen] Render start | TimeEntriesCount=6 AddFormExists=True ViewMode=Add EditFormExists=True
2025-07-31 11:30:30.098 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=24
2025-07-31 11:30:30.473 [Trace] [SpeedTUI][MainLoop] Key pressed | KeyChar=0 CurrentScreen=TimeTrackingScreen Key=DownArrow
2025-07-31 11:30:30.478 [Debug] [SpeedTUI][MainLoop] TimeTrackingScreen input | HasHandleKey=True ViewMode=Add KeyString=DownArrow
2025-07-31 11:30:30.483 [Trace] [SpeedTUI][FormManager] HandleInput | CurrentFieldLabel=Project ID2 CurrentFieldIndex=1 Key=DownArrow
2025-07-31 11:30:30.490 [Debug] [SpeedTUI][FormManager] Moved to next field via DownArrow | NewFieldIndex=2 NewFieldLabel=Project Name
2025-07-31 11:30:30.547 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=TimeTrackingScreen
2025-07-31 11:30:30.594 [Trace] [SpeedTUI][TimeTrackingScreen] Render start | TimeEntriesCount=6 AddFormExists=True ViewMode=Add EditFormExists=True
2025-07-31 11:30:30.607 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=24
2025-07-31 11:30:30.875 [Trace] [SpeedTUI][MainLoop] Key pressed | KeyChar=0 CurrentScreen=TimeTrackingScreen Key=DownArrow
2025-07-31 11:30:30.878 [Debug] [SpeedTUI][MainLoop] TimeTrackingScreen input | HasHandleKey=True ViewMode=Add KeyString=DownArrow
2025-07-31 11:30:30.883 [Trace] [SpeedTUI][FormManager] HandleInput | CurrentFieldLabel=Project Name CurrentFieldIndex=2 Key=DownArrow
2025-07-31 11:30:30.887 [Debug] [SpeedTUI][FormManager] Moved to next field via DownArrow | NewFieldIndex=3 NewFieldLabel=Week Ending (Friday)
2025-07-31 11:30:30.942 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=TimeTrackingScreen
2025-07-31 11:30:30.986 [Trace] [SpeedTUI][TimeTrackingScreen] Render start | TimeEntriesCount=6 AddFormExists=True ViewMode=Add EditFormExists=True
2025-07-31 11:30:31.000 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=24
2025-07-31 11:30:31.724 [Trace] [SpeedTUI][MainLoop] Key pressed | KeyChar=0 CurrentScreen=TimeTrackingScreen Key=DownArrow
2025-07-31 11:30:31.733 [Debug] [SpeedTUI][MainLoop] TimeTrackingScreen input | HasHandleKey=True ViewMode=Add KeyString=DownArrow
2025-07-31 11:30:31.743 [Trace] [SpeedTUI][FormManager] HandleInput | CurrentFieldLabel=Week Ending (Friday) CurrentFieldIndex=3 Key=DownArrow
2025-07-31 11:30:31.751 [Debug] [SpeedTUI][FormManager] Moved to next field via DownArrow | NewFieldIndex=4 NewFieldLabel=Monday Hours
2025-07-31 11:30:31.808 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=TimeTrackingScreen
2025-07-31 11:30:31.844 [Trace] [SpeedTUI][TimeTrackingScreen] Render start | TimeEntriesCount=6 AddFormExists=True ViewMode=Add EditFormExists=True
2025-07-31 11:30:31.858 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=24
2025-07-31 11:30:31.988 [Trace] [SpeedTUI][MainLoop] Key pressed | KeyChar=0 CurrentScreen=TimeTrackingScreen Key=DownArrow
2025-07-31 11:30:31.993 [Debug] [SpeedTUI][MainLoop] TimeTrackingScreen input | HasHandleKey=True ViewMode=Add KeyString=DownArrow
2025-07-31 11:30:31.996 [Trace] [SpeedTUI][FormManager] HandleInput | CurrentFieldLabel=Monday Hours CurrentFieldIndex=4 Key=DownArrow
2025-07-31 11:30:31.999 [Debug] [SpeedTUI][FormManager] Moved to next field via DownArrow | NewFieldIndex=5 NewFieldLabel=Tuesday Hours
2025-07-31 11:30:32.053 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=TimeTrackingScreen
2025-07-31 11:30:32.117 [Trace] [SpeedTUI][TimeTrackingScreen] Render start | TimeEntriesCount=6 AddFormExists=True ViewMode=Add EditFormExists=True
2025-07-31 11:30:32.130 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=24
2025-07-31 11:30:32.657 [Trace] [SpeedTUI][MainLoop] Key pressed | KeyChar=0 CurrentScreen=TimeTrackingScreen Key=DownArrow
2025-07-31 11:30:32.660 [Debug] [SpeedTUI][MainLoop] TimeTrackingScreen input | HasHandleKey=True ViewMode=Add KeyString=DownArrow
2025-07-31 11:30:32.663 [Trace] [SpeedTUI][FormManager] HandleInput | CurrentFieldLabel=Tuesday Hours CurrentFieldIndex=5 Key=DownArrow
2025-07-31 11:30:32.666 [Debug] [SpeedTUI][FormManager] Moved to next field via DownArrow | NewFieldIndex=6 NewFieldLabel=Wednesday Hours
2025-07-31 11:30:32.720 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=TimeTrackingScreen
2025-07-31 11:30:32.785 [Trace] [SpeedTUI][TimeTrackingScreen] Render start | TimeEntriesCount=6 AddFormExists=True ViewMode=Add EditFormExists=True
2025-07-31 11:30:32.793 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=24
2025-07-31 11:30:33.059 [Trace] [SpeedTUI][MainLoop] Key pressed | KeyChar=0 CurrentScreen=TimeTrackingScreen Key=DownArrow
2025-07-31 11:30:33.063 [Debug] [SpeedTUI][MainLoop] TimeTrackingScreen input | HasHandleKey=True ViewMode=Add KeyString=DownArrow
2025-07-31 11:30:33.067 [Trace] [SpeedTUI][FormManager] HandleInput | CurrentFieldLabel=Wednesday Hours CurrentFieldIndex=6 Key=DownArrow
2025-07-31 11:30:33.071 [Debug] [SpeedTUI][FormManager] Moved to next field via DownArrow | NewFieldIndex=7 NewFieldLabel=Thursday Hours
2025-07-31 11:30:33.133 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=TimeTrackingScreen
2025-07-31 11:30:33.183 [Trace] [SpeedTUI][TimeTrackingScreen] Render start | TimeEntriesCount=6 AddFormExists=True ViewMode=Add EditFormExists=True
2025-07-31 11:30:33.197 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=24
2025-07-31 11:30:33.562 [Trace] [SpeedTUI][MainLoop] Key pressed | KeyChar=0 CurrentScreen=TimeTrackingScreen Key=DownArrow
2025-07-31 11:30:33.567 [Debug] [SpeedTUI][MainLoop] TimeTrackingScreen input | HasHandleKey=True ViewMode=Add KeyString=DownArrow
2025-07-31 11:30:33.574 [Trace] [SpeedTUI][FormManager] HandleInput | CurrentFieldLabel=Thursday Hours CurrentFieldIndex=7 Key=DownArrow
2025-07-31 11:30:33.577 [Debug] [SpeedTUI][FormManager] Moved to next field via DownArrow | NewFieldIndex=8 NewFieldLabel=Friday Hours
2025-07-31 11:30:33.631 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=TimeTrackingScreen
2025-07-31 11:30:33.693 [Trace] [SpeedTUI][TimeTrackingScreen] Render start | TimeEntriesCount=6 AddFormExists=True ViewMode=Add EditFormExists=True
2025-07-31 11:30:33.702 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=24
